iter	Passed	Remaining
178	1468	6737
179	1476	6728
180	1484	6715
181	1491	6705
182	1499	6693
183	1506	6682
184	1513	6669
185	1521	6657
186	1528	6647
187	1536	6636
188	1544	6628
189	1552	6616
190	1559	6605
191	1567	6594
192	1575	6585
193	1582	6576
194	1591	6568
195	1598	6555
196	1605	6543
197	1612	6529
198	1619	6518
199	1626	6506
200	1633	6494
201	1640	6481
202	1648	6470
203	1655	6461
204	1663	6451
205	1671	6441
206	1678	6431
207	1686	6421
208	1693	6409
209	1701	6401
210	1709	6391
211	1717	6382
212	1724	6372
213	1732	6363
214	1739	6351
215	1747	6341
216	1755	6333
217	1762	6323
218	1770	6314
219	1779	6307
220	1786	6296
221	1794	6288
222	1801	6277
223	1808	6266
224	1816	6255
225	1823	6243
226	1830	6234
227	1837	6222
228	1845	6213
229	1852	6203
230	1861	6195
231	1868	6185
232	1876	6176
233	1883	6166
234	1892	6159
235	1899	6148
236	1906	6136
237	1913	6126
238	1920	6114
239	1927	6103
240	1934	6092
241	1941	6082
242	1948	6071
243	1955	6060
244	1963	6050
245	1971	6041
246	1979	6033
247	1985	6021
248	1993	6012
249	2000	6001
250	2008	5992
251	2015	5982
252	2022	5971
253	2029	5961
254	2036	5949
255	2043	5940
256	2051	5931
257	2059	5922
258	2066	5911
259	2074	5903
260	2082	5895
261	2089	5886
262	2097	5876
263	2105	5869
264	2111	5857
265	2118	5846
266	2126	5838
267	2133	5827
268	2140	5816
269	2147	5805
270	2154	5795
271	2161	5786
272	2169	5776
273	2176	5767
274	2183	5756
275	2191	5748
276	2197	5736
277	2205	5728
278	2212	5718
279	2220	5710
280	2228	5701
281	2235	5691
282	2242	5680
283	2249	5670
284	2256	5660
285	2263	5650
286	2270	5641
287	2277	5630
288	2285	5622
289	2293	5614
290	2301	5607
291	2310	5601
292	2318	5594
293	2326	5587
294	2334	5579
295	2341	5569
296	2348	5558
297	2357	5554
298	2366	5547
299	2373	5539
300	2380	5528
301	2388	5520
302	2395	5510
303	2402	5501
304	2409	5490
305	2416	5480
306	2423	5471
307	2430	5461
308	2437	5451
309	2444	5441
310	2451	5431
311	2458	5422
312	2466	5413
313	2474	5405
314	2481	5397
315	2489	5388
316	2496	5379
317	2505	5372
318	2512	5363
319	2519	5354
320	2526	5343
321	2533	5334
322	2540	5323
323	2547	5314
324	2554	5305
325	2561	5295
326	2569	5287
327	2575	5277
328	2583	5268
329	2590	5258
330	2597	5250
331	2605	5241
332	2613	5233
333	2620	5224
334	2627	5216
335	2635	5208
336	2643	5201
337	2651	5193
338	2658	5183
339	2666	5176
340	2674	5168
341	2681	5159
342	2688	5149
343	2696	5142
344	2704	5134
345	2711	5126
346	2719	5116
347	2726	5108
348	2733	5099
349	2742	5092
350	2749	5083
351	2756	5075
352	2766	5070
353	2774	5063
354	2783	5057
355	2792	5052
356	2800	5044
357	2809	5037
358	2817	5031
359	2826	5024
360	2834	5016
361	2842	5009
362	2850	5001
363	2857	4992
364	2864	4983
365	2872	4975
366	2879	4966
367	2887	4958
368	2895	4950
369	2902	4941
370	2909	4933
371	2916	4923
372	2923	4915
373	2930	4905
374	2937	4896
375	2944	4886
376	2951	4877
377	2957	4867
378	2965	4858
379	2972	4849
380	2979	4840
381	2986	4831
382	2993	4823
383	3001	4814
384	3008	4805
385	3015	4796
386	3023	4788
387	3030	4779
388	3037	4770
389	3044	4761
390	3052	4753
391	3059	4744
392	3066	4736
393	3074	4728
394	3081	4719
395	3088	4711
396	3096	4702
397	3104	4695
398	3110	4685
399	3118	4677
400	3125	4669
401	3133	4661
402	3141	4653
403	3150	4647
404	3158	4640
405	3166	4633
406	3174	4625
407	3182	4617
408	3190	4610
409	3198	4603
410	3207	4597
411	3216	4590
412	3224	4582
413	3232	4575
414	3240	4567
415	3248	4560
416	3255	4550
417	3262	4542
418	3270	4535
419	3278	4527
420	3287	4520
421	3295	4513
422	3304	4506
423	3311	4499
424	3320	4491
425	3328	4484
426	3335	4476
427	3342	4467
428	3351	4461
429	3359	4453
430	3368	4446
431	3375	4437
432	3382	4429
433	3389	4419
434	3397	4412
435	3404	4404
436	3412	4396
437	3419	4387
438	3427	4379
439	3434	4371
440	3442	4363
441	3449	4355
442	3457	4346
443	3464	4338
444	3471	4329
445	3479	4321
446	3486	4313
447	3493	4305
448	3501	4296
449	3508	4287
450	3515	4279
451	3523	4271
452	3530	4263
453	3538	4255
454	3546	4247
455	3552	4238
456	3560	4230
457	3567	4221
458	3575	4213
459	3583	4206
460	3591	4199
461	3599	4191
462	3607	4183
463	3615	4176
464	3623	4169
465	3632	4162
466	3639	4154
467	3647	4146
468	3656	4139
469	3664	4131
470	3672	4124
471	3680	4117
472	3687	4109
473	3695	4101
474	3702	4092
475	3712	4086
476	3720	4079
477	3728	4071
478	3737	4065
479	3744	4056
480	3751	4048
481	3759	4040
482	3766	4031
483	3773	4023
484	3780	4014
485	3788	4006
486	3795	3998
487	3802	3989
488	3811	3982
489	3819	3975
490	3826	3967
491	3834	3959
492	3841	3950
493	3848	3942
494	3857	3935
495	3864	3927
496	3872	3919
497	3879	3910
498	3886	3902
499	3894	3894
500	3901	3885
501	3908	3877
502	3916	3869
503	3923	3861
504	3932	3855
505	3940	3847
506	3949	3840
507	3956	3831
508	3968	3828
509	3976	3820
510	3985	3813
511	3993	3805
512	4001	3799
513	4009	3791
514	4018	3784
515	4027	3778
516	4036	3771
517	4044	3763
518	4054	3757
519	4063	3751
520	4071	3743
521	4079	3735
522	4087	3727
523	4094	3719
524	4103	3712
525	4110	3703
526	4118	3696
527	4125	3688
528	4134	3681
529	4141	3672
530	4149	3665
531	4157	3657
532	4165	3649
533	4173	3641
534	4180	3633
535	4188	3625
536	4196	3618
537	4204	3610
538	4212	3603
539	4220	3594
540	4227	3586
541	4234	3578
542	4241	3569
543	4249	3562
544	4257	3554
545	4265	3546
546	4271	3537
547	4280	3530
548	4288	3523
549	4297	3515
550	4306	3509
551	4314	3502
552	4322	3493
553	4329	3485
554	4337	3477
555	4344	3469
556	4352	3461
557	4360	3454
558	4368	3446
559	4376	3438
560	4384	3430
561	4391	3422
562	4398	3414
563	4406	3406
564	4414	3398
565	4421	3390
566	4428	3382
567	4436	3373
568	4442	3365
569	4450	3357
570	4458	3349
571	4466	3342
572	4474	3334
573	4481	3326
574	4489	3318
575	4498	3311
576	4506	3303
577	4513	3295
578	4521	3287
579	4529	3279
580	4537	3272
581	4543	3263
582	4552	3256
583	4559	3248
584	4568	3241
585	4576	3233
586	4584	3225
587	4592	3217
588	4600	3210
589	4608	3202
590	4616	3194
591	4624	3186
592	4632	3179
593	4640	3171
594	4648	3164
595	4656	3156
596	4664	3148
597	4671	3140
598	4679	3132
599	4686	3124
600	4695	3117
601	4704	3110
602	4711	3101
603	4718	3093
604	4725	3085
605	4734	3078
606	4741	3070
607	4749	3062
608	4756	3053
609	4763	3045
610	4770	3037
611	4778	3029
612	4784	3020
613	4792	3012
614	4799	3004
615	4806	2996
616	4814	2988
617	4821	2980
618	4829	2972
619	4835	2963
620	4843	2955
621	4850	2947
622	4857	2939
623	4865	2931
624	4872	2923
625	4879	2915
626	4885	2906
627	4892	2898
628	4899	2890
629	4907	2882
630	4914	2873
631	4921	2865
632	4929	2857
633	4935	2849
634	4943	2841
635	4950	2833
636	4957	2825
637	4964	2817
638	4972	2808
639	4978	2800
640	4986	2792
641	4993	2784
642	5000	2776
643	5007	2767
644	5014	2759
645	5021	2751
646	5028	2743
647	5035	2735
648	5042	2727
649	5049	2719
650	5057	2711
651	5064	2702
652	5070	2694
653	5077	2686
654	5084	2678
655	5092	2670
656	5099	2662
657	5106	2653
658	5112	2645
659	5120	2637
660	5127	2629
661	5135	2621
662	5141	2613
663	5149	2606
664	5157	2597
665	5164	2589
666	5171	2581
667	5178	2573
668	5187	2566
669	5195	2558
670	5203	2551
671	5210	2543
672	5218	2535
673	5226	2527
674	5233	2519
675	5240	2511
676	5247	2503
677	5255	2496
678	5264	2488
679	5273	2481
680	5280	2473
681	5289	2466
682	5297	2458
683	5305	2451
684	5313	2443
685	5322	2436
686	5328	2427
687	5337	2420
688	5344	2412
689	5352	2404
690	5358	2396
691	5366	2388
692	5373	2380
693	5381	2372
694	5388	2364
695	5395	2356
696	5403	2349
697	5411	2341
698	5418	2333
699	5426	2325
700	5435	2318
701	5442	2310
702	5450	2302
703	5457	2294
704	5465	2286
705	5472	2279
706	5480	2271
707	5488	2263
708	5496	2255
709	5503	2247
710	5510	2239
711	5519	2232
712	5526	2224
713	5534	2216
714	5540	2208
715	5548	2200
716	5555	2192
717	5563	2185
718	5571	2177
719	5579	2169
720	5587	2161
721	5594	2154
722	5601	2146
723	5608	2138
724	5617	2130
725	5624	2122
726	5631	2114
727	5639	2106
728	5646	2099
729	5654	2091
730	5661	2083
731	5668	2075
732	5675	2067
733	5682	2059
734	5690	2051
735	5697	2043
736	5704	2035
737	5712	2027
738	5719	2020
739	5727	2012
740	5734	2004
741	5742	1996
742	5750	1989
743	5758	1981
744	5765	1973
745	5774	1966
746	5781	1958
747	5790	1950
748	5797	1942
749	5805	1935
750	5812	1927
751	5819	1919
752	5827	1911
753	5834	1903
754	5843	1896
755	5850	1888
756	5858	1880
757	5865	1872
758	5874	1865
759	5882	1857
760	5891	1850
761	5898	1842
762	5906	1834
763	5913	1826
764	5921	1818
765	5928	1811
766	5936	1803
767	5943	1795
768	5950	1787
769	5958	1779
770	5965	1771
771	5972	1764
772	5979	1755
773	5987	1748
774	5993	1740
775	6001	1732
776	6008	1724
777	6016	1716
778	6023	1708
779	6031	1701
780	6038	1693
781	6045	1685
782	6052	1677
783	6059	1669
784	6066	1661
785	6072	1653
786	6080	1645
787	6087	1637
788	6093	1629
789	6100	1621
790	6107	1613
791	6114	1605
792	6121	1597
793	6127	1589
794	6135	1582
795	6142	1574
796	6149	1566
797	6156	1558
798	6164	1550
799	6171	1542
800	6177	1534
801	6185	1526
802	6191	1519
803	6199	1511
804	6207	1503
805	6215	1496
806	6222	1488
807	6229	1480
808	6236	1472
809	6242	1464
810	6250	1456
811	6257	1448
812	6264	1440
813	6271	1433
814	6279	1425
815	6286	1417
816	6293	1409
817	6300	1401
818	6306	1393
819	6313	1385
820	6320	1377
821	6327	1370
822	6333	1362
823	6341	1354
824	6348	1346
825	6354	1338
826	6362	1330
827	6369	1323
828	6376	1315
829	6383	1307
830	6391	1299
831	6397	1291
832	6404	1283
833	6411	1276
834	6418	1268
835	6425	1260
836	6432	1252
837	6439	1244
838	6446	1237
839	6453	1229
840	6461	1221
841	6467	1213
842	6475	1205
843	6481	1198
844	6489	1190
845	6496	1182
846	6502	1174
847	6509	1166
848	6517	1159
849	6524	1151
850	6531	1143
851	6538	1135
852	6545	1127
853	6552	1120
854	6560	1112
855	6567	1104
856	6575	1097
857	6582	1089
858	6590	1081
859	6597	1073
860	6604	1066
861	6611	1058
862	6618	1050
863	6625	1042
864	6631	1035
865	6639	1027
866	6646	1019
867	6653	1011
868	6660	1004
869	6668	996
870	6675	988
871	6682	980
872	6689	973
873	6696	965
874	6703	957
875	6710	949
876	6716	942
877	6723	934
878	6730	926
879	6737	918
880	6744	910
881	6751	903
882	6757	895
883	6763	887
884	6771	879
885	6778	872
886	6786	864
887	6793	856
888	6801	849
889	6808	841
890	6815	833
891	6822	826
892	6830	818
893	6837	810
894	6844	802
895	6851	795
896	6858	787
897	6865	779
898	6872	772
899	6879	764
900	6886	756
901	6893	748
902	6900	741
903	6907	733
904	6915	725
905	6922	718
906	6929	710
907	6936	702
908	6943	695
909	6949	687
910	6956	679
911	6963	671
912	6970	664
913	6977	656
914	6985	648
915	6992	641
916	7000	633
917	7007	625
918	7014	618
919	7021	610
920	7028	602
921	7035	595
922	7043	587
923	7050	579
924	7057	572
925	7065	564
926	7072	556
927	7079	549
928	7086	541
929	7093	533
930	7100	526
931	7107	518
932	7115	510
933	7122	503
934	7129	495
935	7137	488
936	7144	480
937	7150	472
938	7158	465
939	7165	457
940	7172	449
941	7179	442
942	7186	434
943	7193	426
944	7200	419
945	7208	411
946	7215	403
947	7223	396
948	7229	388
949	7236	380
950	7243	373
951	7250	365
952	7257	357
953	7265	350
954	7272	342
955	7279	335
956	7286	327
957	7293	319
958	7300	312
959	7307	304
960	7314	296
961	7321	289
962	7328	281
963	7335	273
964	7342	266
965	7348	258
966	7356	251
967	7362	243
968	7369	235
969	7376	228
970	7383	220
971	7390	212
972	7397	205
973	7404	197
974	7411	190
975	7417	182
976	7424	174
977	7431	167
978	7438	159
979	7445	151
980	7453	144
981	7460	136
982	7468	129
983	7474	121
984	7481	113
985	7489	106
986	7496	98
987	7503	91
988	7509	83
989	7517	75
990	7524	68
991	7532	60
992	7539	53
993	7546	45
994	7554	37
995	7561	30
996	7568	22
997	7575	15
998	7582	7
999	7590	0
